"FIPS_COUNTY","FIPS_STATE","USUAL_FOOD_SPEND","TOTAL_FOOD_SPEND_LAST_WEEK","FOOD_NEED_MORE","FOOD_SPEND_INCREASE_WEEK","RECEIVED_SNAP","NOT_AFFORD_BALANCED_MEALS"
"037","06",300,270,1,100,2,3
"037","06",300,270,1,100,2,3
"037","06",300,270,1,100,2,3
"037","06",60,90,2,-1,-1,-1
"037","06",80,80,3,-1,-1,-1
"037","06",80,80,3,-1,-1,-1
"037","06",80,80,3,-1,-1,-1
"037","06",80,80,3,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",100,120,3,-1,2,3
"037","06",100,120,3,-1,2,3
"037","06",100,120,3,-1,2,3
"037","06",100,120,3,-1,2,3
"037","06",30,30,3,-1,-1,-1
"037","06",80,60,2,-1,2,3
"037","06",80,60,2,-1,2,3
"037","06",30,30,2,-1,-1,-1
"037","06",200,200,2,-1,-1,-1
"037","06",200,200,2,-1,-1,-1
"037","06",200,200,2,-1,-1,-1
"037","06",180,280,2,-1,-1,-1
"037","06",180,280,2,-1,-1,-1
"037","06",130,290,2,-1,-1,-1
"037","06",130,290,2,-1,-1,-1
"037","06",150,290,2,-1,-1,-1
"037","06",150,290,2,-1,-1,-1
"037","06",60,100,2,-1,-1,-1
"037","06",60,100,2,-1,-1,-1
"037","06",60,100,2,-1,-1,-1
"037","06",130,0,1,150,2,-2
"037","06",130,0,1,150,2,-2
"037","06",30,340,2,-1,-1,-1
"037","06",200,150,2,-1,2,3
"037","06",200,150,2,-1,2,3
"037","06",160,200,2,-1,2,3
"037","06",160,200,2,-1,2,3
"037","06",160,200,2,-1,2,3
"037","06",160,200,2,-1,2,3
"037","06",160,200,2,-1,2,3
"037","06",150,190,3,-1,-1,-1
"037","06",200,150,3,-1,1,2
"037","06",200,150,3,-1,1,2
"037","06",200,150,3,-1,1,2
"037","06",200,150,3,-1,1,2
"037","06",200,150,3,-1,1,2
